,wheatfield,ranch,forest,mine,appleorchard,bakery,conveniencestore,cheesefactory,furniturefactory,fruitandveggiemarket,cafe,familyrestaurant,stadium,tvstation,businesscenter,trainstation,shoppingmall,amusementpark,radiotower,gold
46,2,2,0,3,2,2,3,2,0,1,1,1,1,1,1,1,1,1,1,18
47,5,0,2,0,3,2,2,0,2,1,1,3,1,0,0,1,1,1,1,12
48,4,1,2,3,1,2,1,1,1,2,1,0,0,0,1,1,1,1,1,22
49,4,0,2,3,1,3,1,2,3,1,0,0,1,1,1,1,1,1,1,7
50,5,1,2,1,0,3,1,1,1,1,1,2,1,1,1,1,1,1,1,8
51,3,3,0,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,20
52,1,3,1,4,2,1,0,1,3,1,1,1,0,1,1,1,1,1,1,20
53,2,1,0,2,3,3,2,2,2,0,2,1,1,0,1,1,1,1,1,16
54,3,0,4,3,1,1,3,2,2,0,0,0,1,1,1,1,1,1,1,5
55,2,3,0,1,1,3,3,3,0,0,0,2,1,1,0,1,1,1,1,1
56,1,3,1,3,2,2,2,2,3,0,2,0,1,1,1,1,1,1,1,4
57,2,3,3,0,2,1,1,1,2,0,0,2,0,0,1,1,1,1,1,16
58,1,2,2,4,2,2,2,1,3,1,1,0,1,1,1,1,1,1,1,44
59,4,1,3,2,0,1,2,0,1,0,0,0,0,1,1,1,1,1,1,11
60,3,2,2,2,1,2,1,2,2,0,2,1,1,1,1,1,1,1,1,16
61,2,3,0,1,0,3,1,1,4,1,1,0,1,1,1,1,1,1,1,13
62,3,2,2,3,1,3,2,1,2,0,1,0,1,1,1,1,1,1,1,2
63,3,0,1,1,2,2,3,1,2,0,3,1,0,0,0,1,1,1,1,9
64,2,1,4,2,1,2,1,0,2,1,2,0,1,1,1,1,1,1,1,17
65,3,2,2,2,2,3,2,0,1,0,0,2,1,1,1,1,1,1,1,38
66,4,1,0,0,0,3,4,0,1,2,1,2,1,0,0,1,1,1,1,24
67,1,3,1,3,2,2,2,1,1,2,1,0,1,1,1,1,1,1,1,17
68,2,1,1,3,1,1,5,1,2,3,1,0,1,1,1,1,1,1,1,10
69,5,1,0,2,2,2,2,1,2,2,0,3,1,1,0,1,1,1,1,18
70,2,2,0,2,1,4,0,0,2,1,2,3,1,1,1,1,1,1,1,74
71,3,0,1,3,3,2,2,2,1,1,0,0,1,1,1,1,1,1,1,29
72,2,2,1,4,4,3,1,0,1,2,0,0,1,1,1,1,1,1,1,58
73,1,1,1,4,2,3,2,0,1,2,2,2,1,1,1,1,1,1,1,8
74,3,2,0,1,2,2,3,2,0,1,1,1,1,1,1,1,1,1,1,7
75,2,1,2,3,2,3,2,1,2,0,1,1,1,1,1,1,1,1,1,0
76,2,2,0,0,1,2,0,0,2,2,4,2,0,1,1,1,1,1,1,4
77,2,1,2,2,2,2,1,0,2,0,0,2,1,0,1,1,1,1,1,27
78,4,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5
79,2,1,2,2,0,3,2,1,1,0,2,2,0,1,1,1,1,1,1,5
80,2,2,2,2,1,2,1,3,2,1,1,0,1,1,1,1,1,1,1,27
81,3,1,2,3,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,5
82,2,2,2,2,1,3,1,3,0,1,1,3,1,1,1,1,1,1,1,0
83,4,1,0,0,3,2,2,1,0,0,3,2,1,1,1,1,1,1,1,27
84,3,1,1,2,1,1,1,3,2,1,2,0,1,1,1,1,1,1,1,7
85,4,0,2,1,4,3,2,0,1,1,2,0,1,1,0,1,1,1,1,6
86,2,2,1,2,1,3,2,2,4,1,2,0,1,1,1,1,1,1,1,11
87,3,1,3,2,0,3,0,1,3,1,3,0,1,1,1,1,1,1,1,18
88,2,1,0,1,4,4,2,3,2,1,2,0,1,1,1,1,1,1,1,12
89,2,2,2,4,2,3,2,0,2,0,1,0,1,1,0,1,1,1,1,21
90,2,3,1,1,1,2,2,1,1,0,1,2,1,0,0,1,1,1,1,21
91,3,2,0,3,2,2,2,0,2,1,1,2,1,1,1,1,1,1,1,30
92,3,1,3,3,1,3,2,0,1,2,0,2,1,1,1,1,1,1,1,25
93,2,0,1,3,1,2,1,1,2,1,0,2,1,1,0,1,1,1,1,5
94,3,2,2,0,2,3,2,1,0,1,2,1,1,1,1,1,1,1,1,5
95,3,0,0,3,4,4,0,1,1,1,1,2,1,1,1,1,1,1,1,29
96,3,3,1,3,1,1,1,2,2,3,0,1,1,1,1,1,1,1,1,98
97,4,4,1,2,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,30
98,3,3,2,2,0,2,2,4,1,0,0,1,1,0,1,1,1,1,1,11
99,2,1,4,1,3,1,2,1,2,0,2,0,1,1,0,1,1,1,1,54
100,2,0,2,1,2,4,1,2,2,0,0,1,1,1,1,1,1,1,1,21
101,4,2,3,2,0,2,4,0,0,1,2,1,1,1,1,1,1,1,1,11
102,1,2,0,2,0,4,2,2,2,3,2,0,1,1,1,1,1,1,1,1
103,2,2,2,3,2,3,1,1,2,0,0,0,1,1,1,1,1,1,1,38
104,2,3,0,2,1,4,0,4,2,1,0,0,1,1,1,1,1,1,1,7
105,3,2,3,1,0,4,1,1,1,0,1,2,1,1,1,1,1,1,1,16
106,3,2,0,1,2,1,1,1,2,0,2,5,1,1,1,1,1,1,1,26
107,4,3,1,1,1,1,0,3,0,1,2,1,1,1,1,1,1,1,1,16
108,2,2,1,0,3,3,1,1,1,2,2,2,1,1,1,1,1,1,1,10
109,4,3,3,2,0,1,1,3,2,0,0,1,1,1,1,1,1,1,1,21
110,2,2,3,2,1,3,1,2,1,0,2,2,1,1,0,1,1,1,1,16
111,1,3,2,1,3,2,1,0,1,0,1,1,1,0,1,1,1,1,1,3
112,2,3,1,2,2,2,2,1,1,1,2,0,1,1,1,1,1,1,1,4
113,2,2,3,1,4,2,2,1,0,1,0,2,1,1,1,1,1,1,1,18
114,3,1,1,1,1,3,3,3,0,1,0,2,1,1,0,1,1,1,1,9
115,3,3,0,2,3,1,2,3,0,1,0,1,1,1,1,1,1,1,1,28
116,3,1,1,3,2,2,2,1,1,2,2,0,0,1,1,1,1,1,1,69
117,2,2,1,1,4,2,0,2,0,1,2,2,1,1,1,1,1,1,1,22
118,3,1,2,2,0,4,0,1,0,0,2,0,1,0,0,1,1,1,1,2
119,2,1,0,4,1,3,0,2,4,0,1,1,1,1,1,1,1,1,1,23
120,1,3,2,1,1,3,1,1,1,2,2,0,1,1,0,1,1,1,1,10
121,2,4,3,1,1,2,1,0,2,2,2,2,1,0,1,1,1,1,1,17
122,3,1,1,3,2,3,2,1,1,2,1,1,0,1,1,1,1,1,1,3
123,2,1,4,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,18
124,3,4,1,3,2,1,1,3,1,0,0,1,1,1,1,1,1,1,1,2
125,2,2,4,3,1,2,0,1,0,1,2,3,1,1,0,1,1,1,1,38
126,3,1,2,1,0,3,2,0,2,1,2,3,1,1,0,1,1,1,1,0
127,2,1,1,0,2,3,3,2,0,0,1,3,0,1,1,1,1,1,1,6
128,3,0,3,2,0,2,3,1,2,1,1,1,0,1,1,1,1,1,1,6
129,3,0,2,3,0,3,0,0,2,2,1,3,1,1,1,1,1,1,1,5
130,3,0,1,1,2,3,0,2,0,2,2,3,1,0,1,1,1,1,1,14
131,4,3,2,0,2,1,0,0,1,0,1,2,0,1,1,1,1,1,1,10
132,2,1,2,2,1,2,2,1,1,0,3,3,1,1,0,1,1,1,1,27
133,2,4,1,1,1,2,1,3,1,1,5,1,1,1,1,1,1,1,1,19
134,3,1,2,4,2,2,1,0,2,0,0,1,1,1,1,1,1,1,1,12
135,1,4,1,1,2,2,3,2,1,1,0,1,1,1,0,1,1,1,1,23
136,2,2,4,2,1,3,1,2,2,0,0,1,1,1,1,1,1,1,1,10
137,2,1,3,3,1,2,0,2,2,1,1,0,0,1,1,1,1,1,1,2
138,3,2,0,1,3,3,1,1,2,0,1,3,1,1,1,1,1,1,1,11
139,3,2,2,2,3,1,1,1,1,1,2,2,1,1,0,1,1,1,1,40
140,2,1,1,1,2,1,1,0,2,2,2,1,0,1,0,1,1,1,1,21
141,1,2,3,1,2,1,0,2,0,2,2,3,1,1,1,1,1,1,1,39
142,3,1,2,1,1,3,2,1,3,2,1,1,0,0,1,1,1,1,1,27
143,3,2,2,2,2,2,1,2,1,0,1,2,1,1,1,1,1,1,1,12
144,3,3,0,1,2,3,0,2,1,1,1,2,1,1,0,1,1,1,1,5
145,2,1,0,4,3,1,1,1,2,2,2,0,1,1,1,1,1,1,1,15
146,3,1,2,3,1,3,1,0,1,2,0,4,1,1,1,1,1,1,1,36
147,3,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,42
148,2,1,1,4,2,2,1,1,3,0,2,0,1,1,1,1,1,1,1,14
149,3,2,0,1,1,3,3,1,1,1,1,3,1,1,0,1,1,1,1,34
150,2,1,2,1,2,3,3,1,1,1,0,3,0,1,1,1,1,1,1,17
151,2,3,1,4,3,3,0,2,2,0,0,0,1,1,1,1,1,1,1,73
152,2,1,3,1,2,3,1,2,0,1,1,2,1,1,1,1,1,1,1,14
153,2,2,0,3,2,4,1,1,3,1,1,1,1,1,1,1,1,1,1,72
154,2,3,1,2,1,4,2,1,2,1,0,1,1,1,1,1,1,1,1,5
155,2,2,2,2,2,2,1,1,1,1,3,2,1,1,0,1,1,1,1,10
156,2,3,1,3,1,2,0,1,2,1,2,2,1,1,1,1,1,1,1,18
157,4,1,1,1,3,4,1,1,1,1,1,0,1,1,1,1,1,1,1,4
158,3,0,2,3,1,1,2,2,2,2,1,0,1,1,1,1,1,1,1,13
159,2,2,1,2,2,2,1,0,1,1,1,3,0,1,1,1,1,1,1,16
160,3,1,3,3,0,4,0,0,3,2,0,0,1,1,1,1,1,1,1,11
161,3,0,2,1,2,2,0,1,2,0,3,4,1,1,1,1,1,1,1,26
162,3,1,2,0,3,3,3,0,0,1,0,2,1,1,1,1,1,1,1,1
163,3,4,1,1,2,2,0,3,0,1,1,1,1,1,1,1,1,1,1,35
164,2,1,2,0,2,3,1,1,0,2,4,3,1,1,0,1,1,1,1,17
165,1,3,3,2,3,1,3,3,0,0,0,0,1,1,1,1,1,1,1,50
166,1,2,1,2,1,3,4,1,2,1,1,1,0,0,1,1,1,1,1,3
167,1,1,3,0,1,3,0,1,2,1,2,5,1,0,1,1,1,1,1,8
168,3,1,0,4,1,3,2,3,0,0,0,1,1,1,1,1,1,1,1,18
169,3,1,3,1,2,3,1,0,1,0,2,0,0,1,1,1,1,1,1,6
170,2,2,2,3,1,3,2,0,2,1,0,1,1,1,1,1,1,1,1,9
171,2,2,1,3,0,2,0,1,2,3,2,1,1,1,1,1,1,1,1,6
172,3,0,2,2,2,2,2,2,2,1,2,0,1,1,1,1,1,1,1,4
173,3,3,2,3,1,1,0,0,3,1,1,0,1,1,1,1,1,1,1,14
174,3,2,2,3,1,1,1,0,2,0,0,0,1,0,1,1,1,1,1,55
175,3,2,0,3,1,3,1,1,3,1,1,2,1,1,1,1,1,1,1,3
176,3,2,1,2,1,3,2,0,2,2,1,1,0,1,1,1,1,1,1,2
177,3,1,1,2,1,2,2,1,3,1,1,1,0,1,1,1,1,1,1,11
178,2,1,4,2,1,2,0,3,1,2,1,1,1,0,1,1,1,1,1,38
179,2,1,0,3,2,2,1,0,3,2,2,2,1,1,0,1,1,1,1,40
180,1,3,1,1,1,2,3,1,0,1,1,3,1,1,1,1,1,1,1,6
181,4,0,1,4,3,3,1,2,2,0,1,0,1,1,1,1,1,1,1,8
182,2,2,2,4,1,2,2,1,3,0,1,1,1,1,1,1,1,1,1,61
183,2,1,1,2,3,3,0,0,0,3,1,3,1,1,1,1,1,1,1,26
184,2,2,1,2,2,3,2,1,0,2,3,1,1,1,1,1,1,1,1,2
185,3,2,2,4,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,42
186,2,2,4,1,2,1,0,0,0,0,1,1,0,1,0,1,1,1,1,2
187,4,2,0,2,2,1,4,0,2,1,1,1,1,1,1,1,1,1,1,20
188,5,2,0,2,3,3,0,2,0,1,1,1,0,1,0,1,1,1,1,2
189,3,0,0,2,2,2,2,1,2,1,0,1,1,1,1,1,1,1,1,6
190,4,1,1,4,1,1,0,1,2,3,1,0,1,1,1,1,1,1,1,19
191,1,2,2,2,1,3,0,1,2,2,0,1,1,1,1,1,1,1,1,10
192,2,2,2,2,0,4,1,1,1,1,1,2,1,0,0,1,1,1,1,5
193,2,2,2,0,2,1,2,0,1,2,2,3,0,0,1,1,1,1,1,35
194,2,2,2,1,1,1,2,2,0,1,3,2,1,1,1,1,1,1,1,4
195,2,1,1,2,3,1,3,1,1,0,2,2,1,1,0,1,1,1,1,54
196,3,1,3,2,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,16
197,5,0,3,2,2,2,1,2,0,1,0,3,1,1,1,1,1,1,1,1
198,3,0,2,3,1,2,5,1,0,0,1,2,0,1,1,1,1,1,1,81
199,3,0,2,4,1,2,1,3,1,0,0,0,1,1,1,1,1,1,1,26
200,2,0,2,5,1,4,2,0,3,0,2,0,0,1,1,1,1,1,1,20
201,2,1,2,1,3,2,1,4,0,0,1,3,1,1,1,1,1,1,1,15
202,3,1,1,3,0,1,2,1,1,1,4,2,1,1,1,1,1,1,1,90
203,4,2,1,3,2,1,1,1,2,2,0,0,0,1,1,1,1,1,1,18
204,3,3,0,4,1,2,1,2,3,1,0,0,1,1,1,1,1,1,1,4
205,3,1,1,1,3,2,0,0,1,1,2,3,1,1,1,1,1,1,1,7
206,3,3,2,2,1,1,2,3,1,0,1,1,1,1,0,1,1,1,1,47
207,2,2,2,1,0,3,2,0,1,1,2,2,1,1,0,1,1,1,1,10
208,3,1,2,1,2,2,4,0,2,0,1,1,1,1,1,1,1,1,1,4
209,2,1,2,2,1,2,3,4,0,2,1,0,1,1,0,1,1,1,1,0
210,3,3,3,1,2,2,1,3,2,1,0,0,1,1,1,1,1,1,1,4
211,2,4,1,1,3,1,2,4,2,2,1,0,1,1,1,1,1,1,1,3
212,3,1,2,1,3,1,2,1,1,0,1,2,1,1,1,1,1,1,1,65
213,3,0,0,3,3,4,2,2,0,3,0,0,1,0,1,1,1,1,1,29
214,3,2,4,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,21
215,3,1,1,2,3,2,1,2,0,0,2,2,1,1,1,1,1,1,1,6
216,3,2,0,2,0,5,1,1,1,0,2,0,1,1,1,1,1,1,1,7
217,2,2,1,4,0,2,1,1,3,1,0,1,1,0,1,1,1,1,1,26
218,2,1,3,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,83
219,3,2,2,0,0,2,1,1,1,3,1,3,1,1,0,1,1,1,1,0
220,6,2,1,4,0,1,1,1,1,2,3,0,1,1,1,1,1,1,1,28
221,2,0,3,2,1,2,2,0,2,0,3,1,1,1,1,1,1,1,1,27
222,1,4,2,0,3,2,0,0,2,2,1,2,1,1,1,1,1,1,1,13
223,3,0,3,0,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0
224,2,2,3,2,1,3,0,1,3,1,2,2,0,1,1,1,1,1,1,20
225,4,1,1,0,1,2,2,1,2,2,3,2,0,1,1,1,1,1,1,15
226,2,2,2,0,2,2,2,1,1,2,1,3,1,1,0,1,1,1,1,16
227,2,2,0,0,1,1,2,0,1,1,3,2,0,1,0,1,1,1,1,16
228,3,3,2,2,4,1,0,4,0,1,2,0,1,1,1,1,1,1,1,42
229,4,0,4,3,2,1,3,0,2,0,1,0,1,1,1,1,1,1,1,27
230,3,1,2,4,2,1,0,3,2,1,1,0,1,0,1,1,1,1,1,2
231,2,3,3,1,2,3,2,2,1,1,0,0,1,1,1,1,1,1,1,34
232,1,3,1,3,4,3,2,1,2,0,0,0,1,1,1,1,1,1,1,7
233,2,1,1,2,1,3,2,1,0,3,0,2,1,1,1,1,1,1,1,12
234,1,0,2,1,3,4,1,2,1,0,2,1,1,1,1,1,1,1,1,3
235,3,1,3,1,1,3,2,1,2,1,1,0,1,1,1,1,1,1,1,9
236,2,2,2,1,2,2,0,2,1,2,2,0,1,1,1,1,1,1,1,11
237,2,2,2,2,2,2,2,1,1,0,1,0,1,0,1,1,1,1,1,11
238,3,2,1,4,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,19
239,3,0,2,1,2,3,2,0,2,2,2,1,1,1,1,1,1,1,1,9
240,2,0,2,2,2,3,0,2,2,2,1,1,1,1,1,1,1,1,1,3
241,2,0,2,3,4,3,1,0,2,1,4,0,1,1,1,1,1,1,1,15
242,2,1,2,4,3,3,1,0,2,2,1,0,1,1,1,1,1,1,1,33
243,1,1,2,2,0,3,2,0,2,4,3,0,1,1,1,1,1,1,1,31
244,1,1,0,2,3,4,1,1,4,2,0,0,1,1,1,1,1,1,1,5
245,3,1,2,3,1,4,1,1,2,1,1,0,0,1,1,1,1,1,1,53
246,2,3,2,0,1,3,0,2,1,2,3,1,1,1,1,1,1,1,1,0
247,3,2,1,3,1,3,0,1,2,2,0,0,1,1,1,1,1,1,1,40
248,3,2,3,1,1,3,1,2,1,0,0,0,1,1,1,1,1,1,1,17
249,3,4,0,3,1,2,1,5,0,0,0,0,1,1,1,1,1,1,1,12
250,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,11
251,2,2,3,1,0,3,0,1,2,1,1,1,1,1,1,1,1,1,1,16
252,1,3,1,2,2,2,2,1,2,1,0,2,0,1,0,1,1,1,1,0
253,3,2,0,1,1,1,1,1,2,0,1,3,1,1,1,1,1,1,1,7
254,3,2,2,3,2,1,1,0,2,1,4,0,1,1,1,1,1,1,1,52
255,2,1,2,1,2,3,1,2,2,2,0,1,1,1,1,1,1,1,1,36
256,2,1,1,1,1,3,2,1,1,1,2,5,1,1,1,1,1,1,1,3
257,3,1,3,2,3,4,2,1,2,0,0,0,1,1,1,1,1,1,1,49
258,2,3,2,0,3,1,1,3,0,1,2,2,1,1,1,1,1,1,1,57
259,2,0,1,1,1,1,2,0,0,0,3,2,1,0,0,1,1,1,1,14
260,2,1,2,1,1,2,0,0,0,2,4,2,0,1,0,1,1,1,1,8
261,2,2,2,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3
262,2,0,2,3,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,4
263,2,1,1,1,1,2,4,1,1,4,1,1,1,1,1,1,1,1,1,17
264,2,2,1,5,2,1,3,1,4,0,0,0,1,1,1,1,1,1,1,75
265,3,0,2,1,1,3,1,2,3,2,0,1,1,1,1,1,1,1,1,1
266,3,3,0,1,1,1,2,3,1,2,1,2,1,1,1,1,1,1,1,0
267,3,1,3,0,2,1,3,2,2,2,0,1,1,1,1,1,1,1,1,13
268,3,1,3,1,2,1,2,0,2,1,3,1,1,1,0,1,1,1,1,2
269,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,51
270,2,2,2,4,2,3,2,2,3,0,0,0,1,1,1,1,1,1,1,12
271,3,0,0,2,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,6
272,3,3,2,1,2,2,1,3,0,2,1,0,1,1,1,1,1,1,1,22
273,3,2,2,1,1,1,3,3,1,2,1,1,1,0,1,1,1,1,1,14
274,4,0,1,4,2,2,0,3,2,0,0,0,1,0,1,1,1,1,1,41
275,3,1,1,0,1,1,0,2,2,0,3,3,1,1,1,1,1,1,1,1
276,4,2,2,3,3,1,1,1,2,0,0,0,1,1,1,1,1,1,1,17
277,2,1,3,1,0,3,2,2,1,0,2,2,1,0,0,1,1,1,1,33
278,3,2,2,1,2,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1
279,2,2,0,2,1,3,2,1,0,2,2,3,1,1,1,1,1,1,1,6
280,3,4,0,1,2,2,1,2,1,0,2,0,1,1,1,1,1,1,1,4
281,3,2,3,1,2,3,0,2,2,0,0,1,1,1,1,1,1,1,1,6
282,4,0,3,0,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,6
283,3,3,1,2,0,2,0,1,2,1,0,3,1,1,1,1,1,1,1,46
284,4,2,1,1,0,1,0,2,1,2,2,3,1,1,1,1,1,1,1,5
285,4,2,2,4,1,1,1,1,2,0,2,0,1,0,1,1,1,1,1,28
286,3,2,2,2,1,2,2,2,1,0,2,0,1,1,1,1,1,1,1,34
287,3,0,3,2,1,3,2,2,3,0,0,0,1,1,1,1,1,1,1,11
288,5,2,2,0,0,3,1,3,1,2,1,0,0,1,1,1,1,1,1,21
289,3,5,2,1,0,1,2,2,1,2,1,1,1,1,0,1,1,1,1,0
290,4,2,1,1,4,1,2,2,0,1,0,3,1,1,0,1,1,1,1,46
291,2,2,1,0,3,3,1,0,1,2,2,2,0,1,1,1,1,1,1,24
292,4,0,3,2,0,4,1,1,2,0,2,2,1,1,1,1,1,1,1,29
293,4,2,2,2,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,7
294,2,0,1,3,0,3,2,1,3,1,3,0,1,1,1,1,1,1,1,20
295,2,0,1,2,0,3,3,1,1,1,2,4,0,1,1,1,1,1,1,20
296,3,1,0,1,3,1,1,2,1,2,1,2,1,1,0,1,1,1,1,4
297,3,1,4,2,0,2,3,0,3,0,0,1,1,1,1,1,1,1,1,31
298,3,1,3,2,4,1,1,0,2,1,2,1,1,1,1,1,1,1,1,89
299,2,1,2,1,4,3,1,1,0,2,1,2,0,1,1,1,1,1,1,42
300,3,2,2,2,2,2,2,1,1,0,2,0,1,1,1,1,1,1,1,5
301,2,3,2,1,2,2,4,3,2,0,0,2,1,1,1,1,1,1,1,13
302,2,2,2,0,0,3,1,2,2,2,3,2,1,1,1,1,1,1,1,0
303,2,0,3,3,4,2,0,2,2,1,2,0,1,1,1,1,1,1,1,2
304,2,2,2,3,0,2,3,1,3,2,0,0,1,1,1,1,1,1,1,4
305,3,0,2,3,1,3,2,3,1,1,0,0,1,1,1,1,1,1,1,45
306,3,1,1,2,1,2,3,1,1,1,1,0,1,1,1,1,1,1,1,11
307,3,1,3,4,1,2,2,2,4,0,0,0,1,1,1,1,1,1,1,28
308,4,1,0,2,1,3,2,0,1,2,2,1,0,1,0,1,1,1,1,3
309,2,2,0,3,2,3,1,1,0,1,2,2,1,0,1,1,1,1,1,24
310,1,1,2,1,1,3,3,2,1,1,3,1,1,1,1,1,1,1,1,5
311,2,2,2,2,0,3,2,2,2,0,0,3,1,1,0,1,1,1,1,25
312,2,2,1,1,3,3,1,3,1,1,1,0,0,0,1,1,1,1,1,24
313,3,1,2,2,1,2,0,2,2,0,2,2,1,1,1,1,1,1,1,4
314,4,1,3,1,1,3,0,1,3,2,0,0,1,1,1,1,1,1,1,26
315,4,0,2,1,2,1,4,2,0,0,1,1,1,1,1,1,1,1,1,60
316,4,1,2,4,1,2,1,0,1,2,1,0,1,1,1,1,1,1,1,33
317,4,1,1,3,1,2,3,0,1,0,2,0,1,1,1,1,1,1,1,14
318,3,1,2,3,2,4,1,2,3,1,0,0,1,1,1,1,1,1,1,20
319,2,1,3,2,2,3,2,1,1,0,1,1,1,1,1,1,1,1,1,43
320,4,1,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,20
321,4,3,0,2,1,2,2,2,2,1,1,0,1,1,1,1,1,1,1,7
322,3,3,1,1,3,2,0,3,0,2,0,0,1,1,1,1,1,1,1,2
323,3,2,3,1,0,1,0,1,3,0,3,1,1,0,1,1,1,1,1,12
324,1,2,1,1,2,3,0,0,3,2,1,1,0,1,0,1,1,1,1,18
325,2,2,4,1,1,3,1,0,4,2,1,3,0,0,0,1,1,1,1,16
326,1,0,1,2,3,4,1,1,1,2,1,2,1,1,1,1,1,1,1,0
327,4,0,3,1,3,2,0,1,1,1,0,2,0,1,1,1,1,1,1,15
